Season,Round,Constructor-Position,Constrcutor,Nation,Points,Wins
2012,1,2,Red Bull,Austrian,30,0
2012,1,3,Sauber,Swiss,12,0
2012,1,4,Ferrari,Italian,10,0
2012,1,5,Lotus F1,British,6,0
2012,1,6,Toro Rosso,Italian,2,0
2012,1,7,Force India,Indian,1,0
2012,1,8,Mercedes,German,0,0
2012,1,9,Williams,British,0,0
2012,1,10,Marussia,Russian,0,0
2012,1,11,Caterham,Malaysian,0,0
2012,7,1,Red Bull,Austrian,164,2
2012,7,2,McLaren,British,133,2
2012,7,3,Lotus F1,British,108,0
2012,7,4,Ferrari,Italian,97,1
2012,7,5,Mercedes,German,69,1
2012,7,6,Sauber,Swiss,58,0
2012,7,7,Williams,British,44,1
2012,7,8,Force India,Indian,28,0
2012,7,9,Toro Rosso,Italian,6,0
2012,7,10,Caterham,Malaysian,0,0
2012,7,11,Marussia,Russian,0,0
2012,7,12,HRT,Spanish,0,0
2012,9,1,Red Bull,Austrian,216,3
2012,9,2,Ferrari,Italian,152,2
2012,9,3,Lotus F1,British,144,0
2012,9,4,McLaren,British,142,2
2012,9,5,Mercedes,German,98,1
2012,9,6,Sauber,Swiss,60,0
2012,9,7,Williams,British,47,1
2012,9,8,Force India,Indian,44,0
2012,9,9,Toro Rosso,Italian,6,0
2012,9,10,Caterham,Malaysian,0,0
2012,9,11,Marussia,Russian,0,0
2012,9,12,HRT,Spanish,0,0
2012,20,1,Red Bull,Austrian,460,7
2012,20,2,Ferrari,Italian,400,3
2012,20,3,McLaren,British,378,7
2012,20,4,Lotus F1,British,303,1
2012,20,5,Mercedes,German,142,1
2012,20,6,Sauber,Swiss,126,0
2012,20,7,Force India,Indian,109,0
2012,20,8,Williams,British,76,1
2012,20,9,Toro Rosso,Italian,26,0
2012,20,10,Caterham,Malaysian,0,0
2012,20,11,Marussia,Russian,0,0
2012,20,12,HRT,Spanish,0,0
2012,18,1,Red Bull,Austrian,422,7
2012,18,2,Ferrari,Italian,340,3
2012,18,3,McLaren,British,318,5
2012,18,4,Lotus F1,British,288,1
2012,18,5,Mercedes,German,136,1
2012,18,6,Sauber,Swiss,124,0
2012,18,7,Force India,Indian,95,0
2012,18,8,Williams,British,73,1
2012,18,9,Toro Rosso,Italian,22,0
2012,18,10,Marussia,Russian,0,0
2012,18,11,Caterham,Malaysian,0,0
2012,18,12,HRT,Spanish,0,0
2012,11,1,Red Bull,Austrian,246,3
2012,11,2,McLaren,British,193,3
2012,11,3,Lotus F1,British,192,0
2012,11,4,Ferrari,Italian,189,3
2012,11,5,Mercedes,German,106,1
2012,11,6,Sauber,Swiss,80,0
2012,11,7,Williams,British,53,1
2012,11,8,Force India,Indian,46,0
2012,11,9,Toro Rosso,Italian,6,0
2012,11,10,Caterham,Malaysian,0,0
2012,11,11,Marussia,Russian,0,0
2012,11,12,HRT,Spanish,0,0
2012,16,1,Red Bull,Austrian,367,6
2012,16,2,Ferrari,Italian,290,3
2012,16,3,McLaren,British,284,5
2012,16,4,Lotus F1,British,255,0
2012,16,5,Mercedes,German,136,1
2012,16,6,Sauber,Swiss,116,0
2012,16,7,Force India,Indian,89,0
2012,16,8,Williams,British,58,1
2012,16,9,Toro Rosso,Italian,21,0
2012,16,10,Marussia,Russian,0,0
2012,16,11,Caterham,Malaysian,0,0
2012,16,12,HRT,Spanish,0,0
2012,17,1,Red Bull,Austrian,407,7
2012,17,2,Ferrari,Italian,316,3
2012,17,3,McLaren,British,306,5
2012,17,4,Lotus F1,British,263,0
2012,17,5,Mercedes,German,136,1
2012,17,6,Sauber,Swiss,116,0
2012,17,7,Force India,Indian,93,0
2012,17,8,Williams,British,59,1
2012,17,9,Toro Rosso,Italian,21,0
2012,17,10,Marussia,Russian,0,0
2012,17,11,Caterham,Malaysian,0,0
2012,17,12,HRT,Spanish,0,0
2012,10,1,Red Bull,Austrian,230,3
2012,10,2,Ferrari,Italian,177,3
2012,10,3,McLaren,British,160,2
2012,10,4,Lotus F1,British,159,0
2012,10,5,Mercedes,German,105,1
2012,10,6,Sauber,Swiss,80,0
2012,10,7,Williams,British,47,1
2012,10,8,Force India,Indian,46,0
2012,10,9,Toro Rosso,Italian,6,0
2012,10,10,Caterham,Malaysian,0,0
2012,10,11,Marussia,Russian,0,0
2012,10,12,HRT,Spanish,0,0
2012,19,1,Red Bull,Austrian,440,7
2012,19,2,Ferrari,Italian,367,3
2012,19,3,McLaren,British,353,6
2012,19,4,Lotus F1,British,302,1
2012,19,5,Mercedes,German,136,1
2012,19,6,Sauber,Swiss,124,0
2012,19,7,Force India,Indian,99,0
2012,19,8,Williams,British,76,1
2012,19,9,Toro Rosso,Italian,22,0
2012,19,10,Marussia,Russian,0,0
2012,19,11,Caterham,Malaysian,0,0
2012,19,12,HRT,Spanish,0,0
2012,2,1,McLaren,British,55,1
2012,2,2,Red Bull,Austrian,42,0
2012,2,3,Ferrari,Italian,35,1
2012,2,4,Sauber,Swiss,30,0
2012,2,5,Lotus F1,British,16,0
2012,2,6,Force India,Indian,9,0
2012,2,7,Williams,British,8,0
2012,2,8,Toro Rosso,Italian,6,0
2012,2,9,Mercedes,German,1,0
2012,2,10,Marussia,Russian,0,0
2012,2,11,Caterham,Malaysian,0,0
2012,2,12,HRT,Spanish,0,0
2012,5,1,Red Bull,Austrian,109,1
2012,5,2,McLaren,British,98,1
2012,5,3,Lotus F1,British,84,0
2012,5,4,Ferrari,Italian,63,1
2012,5,5,Mercedes,German,43,1
2012,5,6,Williams,British,43,1
2012,5,7,Sauber,Swiss,41,0
2012,5,8,Force India,Indian,18,0
2012,5,9,Toro Rosso,Italian,6,0
2012,5,10,Marussia,Russian,0,0
2012,5,11,Caterham,Malaysian,0,0
2012,5,12,HRT,Spanish,0,0
2012,4,1,Red Bull,Austrian,101,1
2012,4,2,McLaren,British,92,1
2012,4,3,Lotus F1,British,57,0
2012,4,4,Ferrari,Italian,45,1
2012,4,5,Mercedes,German,37,1
2012,4,6,Sauber,Swiss,31,0
2012,4,7,Williams,British,18,0
2012,4,8,Force India,Indian,17,0
2012,4,9,Toro Rosso,Italian,6,0
2012,4,10,Marussia,Russian,0,0
2012,4,11,Caterham,Malaysian,0,0
2012,4,12,HRT,Spanish,0,0
2012,3,1,McLaren,British,88,1
2012,3,2,Red Bull,Austrian,64,0
2012,3,3,Ferrari,Italian,37,1
2012,3,4,Sauber,Swiss,31,0
2012,3,5,Mercedes,German,26,1
2012,3,6,Lotus F1,British,24,0
2012,3,7,Williams,British,18,0
2012,3,8,Force India,Indian,9,0
2012,3,9,Toro Rosso,Italian,6,0
2012,3,10,Marussia,Russian,0,0
2012,3,11,Caterham,Malaysian,0,0
2012,3,12,HRT,Spanish,0,0
2008,15,1,McLaren,British,135,5
2008,15,2,Ferrari,Italian,134,7
2008,15,3,BMW Sauber,German,120,1
2008,15,4,Renault,French,51,1
2008,15,5,Toyota,Japanese,46,0
2008,15,6,Toro Rosso,Italian,31,1
2008,15,7,Red Bull,Austrian,28,0
2008,15,8,Williams,British,26,0
2008,15,9,Honda,Japanese,14,0
2008,15,10,Force India,Indian,0,0
2008,15,11,Super Aguri,Japanese,0,0
2008,12,1,Ferrari,Italian,121,6
2008,12,2,McLaren,British,113,5
2008,12,3,BMW Sauber,German,96,1
2008,12,4,Toyota,Japanese,41,0
2008,12,5,Renault,French,31,0
2008,12,6,Red Bull,Austrian,24,0
2008,12,7,Williams,British,17,0
2008,12,8,Honda,Japanese,14,0
2008,12,9,Toro Rosso,Italian,11,0
2008,12,10,Force India,Indian,0,0
2008,12,11,Super Aguri,Japanese,0,0
2008,13,1,Ferrari,Italian,131,7
2008,13,2,McLaren,British,119,5
2008,13,3,BMW Sauber,German,107,1
2008,13,4,Toyota,Japanese,41,0
2008,13,5,Renault,French,36,0
2008,13,6,Red Bull,Austrian,25,0
2008,13,7,Williams,British,17,0
2008,13,8,Toro Rosso,Italian,17,0
2008,13,9,Honda,Japanese,14,0
2008,13,10,Force India,Indian,0,0
2008,13,11,Super Aguri,Japanese,0,0
2008,14,1,Ferrari,Italian,134,7
2008,14,2,McLaren,British,129,5
2008,14,3,BMW Sauber,German,117,1
2008,14,4,Toyota,Japanese,41,0
2008,14,5,Renault,French,41,0
2008,14,6,Toro Rosso,Italian,27,1
2008,14,7,Red Bull,Austrian,26,0
2008,14,8,Williams,British,17,0
2008,14,9,Honda,Japanese,14,0
2008,14,10,Force India,Indian,0,0
2008,14,11,Super Aguri,Japanese,0,0
2008,8,1,Ferrari,Italian,91,5
2008,8,2,BMW Sauber,German,74,1
2008,8,3,McLaren,British,58,2
2008,8,4,Red Bull,Austrian,24,0
2008,8,5,Toyota,Japanese,23,0
2008,8,6,Williams,British,15,0
2008,8,7,Renault,French,12,0
2008,8,8,Honda,Japanese,8,0
2008,8,9,Toro Rosso,Italian,7,0
2008,8,10,Force India,Indian,0,0
2008,8,11,Super Aguri,Japanese,0,0
2008,6,1,Ferrari,Italian,69,4
2008,6,2,McLaren,British,53,2
2008,6,3,BMW Sauber,German,52,0
2008,6,4,Williams,British,15,0
2008,6,5,Red Bull,Austrian,15,0
2008,6,6,Toyota,Japanese,9,0
2008,6,7,Renault,French,9,0
2008,6,8,Toro Rosso,Italian,6,0
2008,6,9,Honda,Japanese,6,0
2008,6,10,Force India,Indian,0,0
2008,6,11,Super Aguri,Japanese,0,0
2008,1,1,McLaren,British,14,1
2008,1,2,Williams,British,9,0
2008,1,3,BMW Sauber,German,8,0
2008,1,4,Renault,French,5,0
2008,1,5,Toro Rosso,Italian,2,0
2008,1,6,Ferrari,Italian,1,0
2008,7,1,Ferrari,Italian,73,4
2008,7,2,BMW Sauber,German,70,1
2008,7,3,McLaren,British,53,2
2008,7,4,Red Bull,Austrian,21,0
2008,7,5,Toyota,Japanese,17,0
2008,7,6,Williams,British,15,0
2008,7,7,Renault,French,9,0
2008,7,8,Honda,Japanese,8,0
2008,7,9,Toro Rosso,Italian,7,0
2008,7,10,Force India,Indian,0,0
2008,7,11,Super Aguri,Japanese,0,0
2008,9,1,Ferrari,Italian,96,5
2008,9,2,BMW Sauber,German,82,1
2008,9,3,McLaren,British,72,3
2008,9,4,Toyota,Japanese,25,0
2008,9,5,Red Bull,Austrian,24,0
2008,9,6,Williams,British,16,0
2008,9,7,Renault,French,15,0
2008,9,8,Honda,Japanese,14,0
2008,9,9,Toro Rosso,Italian,7,0
2008,9,10,Force India,Indian,0,0
2008,9,11,Super Aguri,Japanese,0,0
2008,18,1,Ferrari,Italian,172,8
2008,18,2,McLaren,British,151,6
2008,18,3,BMW Sauber,German,135,1
2008,18,4,Renault,French,80,2
2008,18,5,Toyota,Japanese,56,0
2008,18,6,Toro Rosso,Italian,39,1
2008,18,7,Red Bull,Austrian,29,0
2008,18,8,Williams,British,26,0
2008,18,9,Honda,Japanese,14,0
2008,18,10,Force India,Indian,0,0
2008,18,11,Super Aguri,Japanese,0,0
2008,11,1,Ferrari,Italian,111,5
2008,11,2,McLaren,British,100,5
2008,11,3,BMW Sauber,German,90,1
2008,11,4,Toyota,Japanese,35,0
2008,11,5,Renault,French,31,0
2008,11,6,Red Bull,Austrian,24,0
2008,11,7,Williams,British,16,0
2008,11,8,Honda,Japanese,14,0
2008,11,9,Toro Rosso,Italian,8,0
2008,11,10,Force India,Indian,0,0
2008,11,11,Super Aguri,Japanese,0,0
2008,16,1,Ferrari,Italian,142,7
2008,16,2,McLaren,British,135,5
2008,16,3,BMW Sauber,German,128,1
2008,16,4,Renault,French,66,2
2008,16,5,Toyota,Japanese,50,0
2008,16,6,Toro Rosso,Italian,34,1
2008,16,7,Red Bull,Austrian,29,0
2008,16,8,Williams,British,26,0
2008,16,9,Honda,Japanese,14,0
2008,16,10,Force India,Indian,0,0
2008,16,11,Super Aguri,Japanese,0,0
2008,17,1,Ferrari,Italian,156,7
2008,17,2,McLaren,British,145,6
2008,17,3,BMW Sauber,German,135,1
2008,17,4,Renault,French,72,2
2008,17,5,Toyota,Japanese,52,0
2008,17,6,Toro Rosso,Italian,34,1
2008,17,7,Red Bull,Austrian,29,0
2008,17,8,Williams,British,26,0
2008,17,9,Honda,Japanese,14,0
2008,17,10,Force India,Indian,0,0
2008,17,11,Super Aguri,Japanese,0,0
2008,10,1,Ferrari,Italian,105,5
2008,10,2,BMW Sauber,German,89,1
2008,10,3,McLaren,British,86,4
2008,10,4,Toyota,Japanese,25,0
2008,10,5,Red Bull,Austrian,24,0
2008,10,6,Renault,French,23,0
2008,10,7,Williams,British,16,0
2008,10,8,Honda,Japanese,14,0
2008,10,9,Toro Rosso,Italian,8,0
2008,10,10,Force India,Indian,0,0
2008,10,11,Super Aguri,Japanese,0,0
2008,2,1,McLaren,British,24,1
2008,2,2,BMW Sauber,German,19,0
2008,2,3,Ferrari,Italian,11,1
2008,2,4,Williams,British,9,0
2008,2,5,Renault,French,6,0
2008,2,6,Toyota,Japanese,5,0
2008,2,7,Red Bull,Austrian,2,0
2008,2,8,Toro Rosso,Italian,2,0
2008,2,9,Honda,Japanese,0,0
2008,2,10,Force India,Indian,0,0
2008,2,11,Super Aguri,Japanese,0,0
2008,5,1,Ferrari,Italian,63,4
2008,5,2,BMW Sauber,German,44,0
2008,5,3,McLaren,British,42,1
2008,5,4,Williams,British,13,0
2008,5,5,Red Bull,Austrian,10,0
2008,5,6,Toyota,Japanese,9,0
2008,5,7,Renault,French,9,0
2008,5,8,Honda,Japanese,3,0
2008,5,9,Toro Rosso,Italian,2,0
2008,5,10,Force India,Indian,0,0
2008,5,11,Super Aguri,Japanese,0,0
2008,4,1,Ferrari,Italian,47,3
2008,4,2,BMW Sauber,German,35,0
2008,4,3,McLaren,British,34,1
2008,4,4,Williams,British,12,0
2008,4,5,Toyota,Japanese,9,0
2008,4,6,Red Bull,Austrian,8,0
2008,4,7,Renault,French,6,0
2008,4,8,Honda,Japanese,3,0
2008,4,9,Toro Rosso,Italian,2,0
2008,4,10,Force India,Indian,0,0
2008,4,11,Super Aguri,Japanese,0,0
2008,3,1,BMW Sauber,German,30,0
2008,3,2,Ferrari,Italian,29,2
2008,3,3,McLaren,British,28,1
2008,3,4,Williams,British,10,0
2008,3,5,Toyota,Japanese,8,0
2008,3,6,Renault,French,6,0
2008,3,7,Red Bull,Austrian,4,0
2008,3,8,Toro Rosso,Italian,2,0
2008,3,9,Honda,Japanese,0,0
2008,3,10,Force India,Indian,0,0
2008,3,11,Super Aguri,Japanese,0,0
2001,15,1,Ferrari,Italian,161,8
2001,15,2,McLaren,British,81,3
2001,15,3,Williams,British,73,4
2001,15,4,Sauber,Swiss,20,0
2001,15,5,BAR,British,17,0
2001,15,6,Jordan,Irish,16,0
2001,15,7,Benetton,Italian,10,0
2001,15,8,Jaguar,British,7,0
2001,15,9,Prost,French,4,0
2001,15,10,Arrows,British,1,0
2001,15,11,Minardi,Italian,0,0
2001,12,1,Ferrari,Italian,124,6
2001,12,2,McLaren,British,66,3
2001,12,3,Williams,British,56,3
2001,12,4,Sauber,Swiss,19,0
2001,12,5,BAR,British,16,0
2001,12,6,Jordan,Irish,15,0
2001,12,7,Benetton,Italian,6,0
2001,12,8,Jaguar,British,5,0
2001,12,9,Prost,French,4,0
2001,12,10,Arrows,British,1,0
2001,12,11,Minardi,Italian,0,0
2001,13,1,Ferrari,Italian,140,7
2001,13,2,McLaren,British,72,3
2001,13,3,Williams,British,59,3
2001,13,4,Sauber,Swiss,20,0
2001,13,5,BAR,British,16,0
2001,13,6,Jordan,Irish,15,0
2001,13,7,Benetton,Italian,6,0
2001,13,8,Jaguar,British,5,0
2001,13,9,Prost,French,4,0
2001,13,10,Arrows,British,1,0
2001,13,11,Minardi,Italian,0,0
2001,14,1,Ferrari,Italian,152,8
2001,14,2,McLaren,British,81,3
2001,14,3,Williams,British,59,3
2001,14,4,Sauber,Swiss,20,0
2001,14,5,BAR,British,16,0
2001,14,6,Jordan,Irish,16,0
2001,14,7,Benetton,Italian,10,0
2001,14,8,Jaguar,British,5,0
2001,14,9,Prost,French,4,0
2001,14,10,Arrows,British,1,0
2001,14,11,Minardi,Italian,0,0
2001,8,1,Ferrari,Italian,82,4
2001,8,2,McLaren,British,48,2
2001,8,3,Williams,British,28,2
2001,8,4,Sauber,Swiss,15,0
2001,8,5,Jordan,Irish,13,0
2001,8,6,BAR,British,12,0
2001,8,7,Jaguar,British,5,0
2001,8,8,Prost,French,3,0
2001,8,9,Arrows,British,1,0
2001,8,10,Benetton,Italian,1,0
2001,8,11,Minardi,Italian,0,0
2001,6,1,Ferrari,Italian,60,3
2001,6,2,McLaren,British,42,2
2001,6,3,Williams,British,18,1
2001,6,4,Jordan,Irish,13,0
2001,6,5,Sauber,Swiss,12,0
2001,6,6,BAR,British,9,0
2001,6,7,Arrows,British,1,0
2001,6,8,Benetton,Italian,1,0
2001,6,9,Jaguar,British,0,0
2001,6,10,Prost,French,0,0
2001,6,11,Minardi,Italian,0,0
2001,1,1,Ferrari,Italian,14,1
2001,1,2,McLaren,British,6,0
2001,1,3,Sauber,Swiss,4,0
2001,1,4,Jordan,Irish,2,0
2001,1,5,BAR,British,0,0
2001,1,6,Jaguar,British,0,0
2001,1,7,Prost,French,0,0
2001,1,8,Arrows,British,0,0
2001,1,9,Minardi,Italian,0,0
2001,1,10,Benetton,Italian,0,0
2001,7,1,Ferrari,Italian,76,4
2001,7,2,McLaren,British,44,2
2001,7,3,Williams,British,18,1
2001,7,4,Jordan,Irish,13,0
2001,7,5,BAR,British,12,0
2001,7,6,Sauber,Swiss,12,0
2001,7,7,Jaguar,British,4,0
2001,7,8,Arrows,British,1,0
2001,7,9,Benetton,Italian,1,0
2001,7,10,Prost,French,1,0
2001,7,11,Minardi,Italian,0,0
2001,9,1,Ferrari,Italian,94,5
2001,9,2,McLaren,British,53,2
2001,9,3,Williams,British,37,2
2001,9,4,Sauber,Swiss,15,0
2001,9,5,Jordan,Irish,13,0
2001,9,6,BAR,British,12,0
2001,9,7,Jaguar,British,5,0
2001,9,8,Prost,French,3,0
2001,9,9,Arrows,British,1,0
2001,9,10,Benetton,Italian,1,0
2001,9,11,Minardi,Italian,0,0
2001,11,1,Ferrari,Italian,118,6
2001,11,2,McLaren,British,66,3
2001,11,3,Williams,British,46,2
2001,11,4,Sauber,Swiss,19,0
2001,11,5,Jordan,Irish,15,0
2001,11,6,BAR,British,12,0
2001,11,7,Jaguar,British,5,0
2001,11,8,Prost,French,3,0
2001,11,9,Arrows,British,1,0
2001,11,10,Benetton,Italian,1,0
2001,11,11,Minardi,Italian,0,0
2001,16,1,Ferrari,Italian,167,8
2001,16,2,McLaren,British,95,4
2001,16,3,Williams,British,73,4
2001,16,4,Sauber,Swiss,21,0
2001,16,5,Jordan,Irish,19,0
2001,16,6,BAR,British,17,0
2001,16,7,Benetton,Italian,10,0
2001,16,8,Jaguar,British,9,0
2001,16,9,Prost,French,4,0
2001,16,10,Arrows,British,1,0
2001,16,11,Minardi,Italian,0,0
2001,17,1,Ferrari,Italian,179,9
2001,17,2,McLaren,British,102,4
2001,17,3,Williams,British,80,4
2001,17,4,Sauber,Swiss,21,0
2001,17,5,Jordan,Irish,19,0
2001,17,6,BAR,British,17,0
2001,17,7,Benetton,Italian,10,0
2001,17,8,Jaguar,British,9,0
2001,17,9,Prost,French,4,0
2001,17,10,Arrows,British,1,0
2001,17,11,Minardi,Italian,0,0
2001,10,1,Ferrari,Italian,108,6
2001,10,2,McLaren,British,56,2
2001,10,3,Williams,British,43,2
2001,10,4,Sauber,Swiss,16,0
2001,10,5,Jordan,Irish,15,0
2001,10,6,BAR,British,12,0
2001,10,7,Jaguar,British,5,0
2001,10,8,Prost,French,3,0
2001,10,9,Arrows,British,1,0
2001,10,10,Benetton,Italian,1,0
2001,10,11,Minardi,Italian,0,0
2001,2,1,Ferrari,Italian,30,2
2001,2,2,McLaren,British,11,0
2001,2,3,Jordan,Irish,5,0
2001,2,4,Sauber,Swiss,4,0
2001,2,5,Williams,British,2,0
2001,2,6,Arrows,British,0,0
2001,2,7,BAR,British,0,0
2001,2,8,Jaguar,British,0,0
2001,2,9,Prost,French,0,0
2001,2,10,Benetton,Italian,0,0
2001,2,11,Minardi,Italian,0,0
2001,5,1,Ferrari,Italian,50,3
2001,5,2,McLaren,British,32,1
2001,5,3,Williams,British,18,1
2001,5,4,Jordan,Irish,13,0
2001,5,5,Sauber,Swiss,9,0
2001,5,6,BAR,British,7,0
2001,5,7,Benetton,Italian,1,0
2001,5,8,Arrows,British,0,0
2001,5,9,Prost,French,0,0
2001,5,10,Jaguar,British,0,0
2001,5,11,Minardi,Italian,0,0
2001,4,1,Ferrari,Italian,40,2
2001,4,2,McLaren,British,30,1
2001,4,3,Williams,British,12,1
2001,4,4,Jordan,Irish,10,0
2001,4,5,Sauber,Swiss,8,0
2001,4,6,BAR,British,3,0
2001,4,7,Benetton,Italian,1,0
2001,4,8,Arrows,British,0,0
2001,4,9,Prost,French,0,0
2001,4,10,Jaguar,British,0,0
2001,4,11,Minardi,Italian,0,0
2001,3,1,Ferrari,Italian,36,2
2001,3,2,McLaren,British,21,1
2001,3,3,Sauber,Swiss,8,0
2001,3,4,Jordan,Irish,7,0
2001,3,5,BAR,British,3,0
2001,3,6,Williams,British,2,0
2001,3,7,Benetton,Italian,1,0
2001,3,8,Arrows,British,0,0
2001,3,9,Prost,French,0,0
2001,3,10,Jaguar,British,0,0
2001,3,11,Minardi,Italian,0,0
2006,15,1,Ferrari,Italian,168,7
2006,15,2,Renault,French,165,7
2006,15,3,McLaren,British,97,0
2006,15,4,Honda,Japanese,65,1
2006,15,5,BMW Sauber,German,33,0
2006,15,6,Toyota,Japanese,30,0
2006,15,7,Red Bull,Austrian,16,0
2006,15,8,Williams,British,10,0
2006,15,9,Toro Rosso,Italian,1,0
2006,15,10,MF1,Russian,0,0
2006,15,11,Super Aguri,Japanese,0,0
2006,15,12,Spyker MF1,Dutch,0,0
2006,12,1,Renault,French,149,7
2006,12,2,Ferrari,Italian,139,5
2006,12,3,McLaren,British,77,0
2006,12,4,Honda,Japanese,37,0
2006,12,5,Toyota,Japanese,23,0
2006,12,6,BMW Sauber,German,20,0
2006,12,7,Red Bull,Austrian,12,0
2006,12,8,Williams,British,10,0
2006,12,9,Toro Rosso,Italian,1,0
2006,12,10,MF1,Russian,0,0
2006,12,11,Super Aguri,Japanese,0,0
2006,13,1,Renault,French,149,7
2006,13,2,Ferrari,Italian,142,5
2006,13,3,McLaren,British,85,0
2006,13,4,Honda,Japanese,52,1
2006,13,5,Toyota,Japanese,26,0
2006,13,6,BMW Sauber,German,26,0
2006,13,7,Red Bull,Austrian,16,0
2006,13,8,Williams,British,10,0
2006,13,9,Toro Rosso,Italian,1,0
2006,13,10,MF1,Russian,0,0
2006,13,11,Super Aguri,Japanese,0,0
2006,14,1,Renault,French,160,7
2006,14,2,Ferrari,Italian,158,6
2006,14,3,McLaren,British,89,0
2006,14,4,Honda,Japanese,58,1
2006,14,5,Toyota,Japanese,28,0
2006,14,6,BMW Sauber,German,26,0
2006,14,7,Red Bull,Austrian,16,0
2006,14,8,Williams,British,10,0
2006,14,9,Toro Rosso,Italian,1,0
2006,14,10,MF1,Russian,0,0
2006,14,11,Super Aguri,Japanese,0,0
2006,8,1,Renault,French,106,6
2006,8,2,Ferrari,Italian,75,2
2006,8,3,McLaren,British,59,0
2006,8,4,Honda,Japanese,29,0
2006,8,5,BMW Sauber,German,17,0
2006,8,6,Williams,British,10,0
2006,8,7,Toyota,Japanese,8,0
2006,8,8,Red Bull,Austrian,8,0
2006,8,9,Toro Rosso,Italian,0,0
2006,8,10,MF1,Russian,0,0
2006,8,11,Super Aguri,Japanese,0,0
2006,6,1,Renault,French,78,4
2006,6,2,Ferrari,Italian,59,2
2006,6,3,McLaren,British,42,0
2006,6,4,Honda,Japanese,24,0
2006,6,5,BMW Sauber,German,12,0
2006,6,6,Williams,British,10,0
2006,6,7,Toyota,Japanese,7,0
2006,6,8,Red Bull,Austrian,2,0
2006,6,9,Toro Rosso,Italian,0,0
2006,6,10,MF1,Russian,0,0
2006,6,11,Super Aguri,Japanese,0,0
2006,1,1,Renault,French,10,1
2006,1,2,McLaren,British,10,0
2006,1,3,Ferrari,Italian,8,0
2006,1,4,Honda,Japanese,5,0
2006,1,5,Williams,British,5,0
2006,1,6,Red Bull,Austrian,1,0
2006,1,7,Toro Rosso,Italian,0,0
2006,1,8,BMW Sauber,German,0,0
2006,1,9,Toyota,Japanese,0,0
2006,1,10,MF1,Russian,0,0
2006,1,11,Super Aguri,Japanese,0,0
2006,7,1,Renault,French,91,5
2006,7,2,Ferrari,Italian,63,2
2006,7,3,McLaren,British,50,0
2006,7,4,Honda,Japanese,29,0
2006,7,5,BMW Sauber,German,14,0
2006,7,6,Williams,British,10,0
2006,7,7,Toyota,Japanese,8,0
2006,7,8,Red Bull,Austrian,8,0
2006,7,9,Toro Rosso,Italian,0,0
2006,7,10,MF1,Russian,0,0
2006,7,11,Super Aguri,Japanese,0,0
2006,9,1,Renault,French,121,7
2006,9,2,Ferrari,Italian,87,2
2006,9,3,McLaren,British,65,0
2006,9,4,Honda,Japanese,29,0
2006,9,5,BMW Sauber,German,19,0
2006,9,6,Toyota,Japanese,11,0
2006,9,7,Williams,British,10,0
2006,9,8,Red Bull,Austrian,9,0
2006,9,9,Toro Rosso,Italian,0,0
2006,9,10,MF1,Russian,0,0
2006,9,11,Super Aguri,Japanese,0,0
2006,18,1,Renault,French,206,8
2006,18,2,Ferrari,Italian,201,9
2006,18,3,McLaren,British,110,0
2006,18,4,Honda,Japanese,86,1
2006,18,5,BMW Sauber,German,36,0
2006,18,6,Toyota,Japanese,35,0
2006,18,7,Red Bull,Austrian,16,0
2006,18,8,Williams,British,11,0
2006,18,9,Toro Rosso,Italian,1,0
2006,18,10,MF1,Russian,0,0
2006,18,11,Super Aguri,Japanese,0,0
2006,18,12,Spyker MF1,Dutch,0,0
2006,11,1,Renault,French,142,7
2006,11,2,Ferrari,Italian,121,4
2006,11,3,McLaren,British,71,0
2006,11,4,Honda,Japanese,32,0
2006,11,5,Toyota,Japanese,21,0
2006,11,6,BMW Sauber,German,20,0
2006,11,7,Red Bull,Austrian,11,0
2006,11,8,Williams,British,10,0
2006,11,9,Toro Rosso,Italian,1,0
2006,11,10,MF1,Russian,0,0
2006,11,11,Super Aguri,Japanese,0,0
2006,16,1,Renault,French,179,7
2006,16,2,Ferrari,Italian,178,8
2006,16,3,McLaren,British,101,0
2006,16,4,Honda,Japanese,73,1
2006,16,5,BMW Sauber,German,35,0
2006,16,6,Toyota,Japanese,30,0
2006,16,7,Red Bull,Austrian,16,0
2006,16,8,Williams,British,11,0
2006,16,9,Toro Rosso,Italian,1,0
2006,16,10,MF1,Russian,0,0
2006,16,11,Super Aguri,Japanese,0,0
2006,16,12,Spyker MF1,Dutch,0,0
2006,17,1,Renault,French,195,8
2006,17,2,Ferrari,Italian,186,8
2006,17,3,McLaren,British,105,0
2006,17,4,Honda,Japanese,78,1
2006,17,5,BMW Sauber,German,36,0
2006,17,6,Toyota,Japanese,35,0
2006,17,7,Red Bull,Austrian,16,0
2006,17,8,Williams,British,11,0
2006,17,9,Toro Rosso,Italian,1,0
2006,17,10,MF1,Russian,0,0
2006,17,11,Super Aguri,Japanese,0,0
2006,17,12,Spyker MF1,Dutch,0,0
2006,10,1,Renault,French,131,7
2006,10,2,Ferrari,Italian,105,3
2006,10,3,McLaren,British,65,0
2006,10,4,Honda,Japanese,32,0
2006,10,5,BMW Sauber,German,19,0
2006,10,6,Toyota,Japanese,16,0
2006,10,7,Red Bull,Austrian,11,0
2006,10,8,Williams,British,10,0
2006,10,9,Toro Rosso,Italian,1,0
2006,10,10,MF1,Russian,0,0
2006,10,11,Super Aguri,Japanese,0,0
